timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1605995353495,6,Get POST content XML,200,OK,Thread Group 1-1,text,true,,1500,1340,2,2,http://192.168.2.4/blog/api/posts/6e011504-7204-493c-9928-510a0a3c2857,6,0,0
1605995395790,338,Edit POST,200,OK,Thread Group 1-1,,true,,301,1980,2,2,http://192.168.2.4/blog/api/posts/update/foo,338,0,2
1605995396129,3,Refresh post after Saveing,200,OK,Thread Group 1-1,text,true,,962,1340,2,2,http://192.168.2.4/blog/api/posts/6e011504-7204-493c-9928-510a0a3c2857,3,0,0
1605995409617,299,Get POST,200,OK,Thread Group 1-1,text,true,,51677,1281,2,2,http://192.168.2.4/blog/post/bkyhzch,298,0,0
1605995409917,27,Choose Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,32024,1214,2,2,null,0,5582,0
1605995415497,27,Get posts using dates from CSV,200,OK,Thread Group 1-1,text,true,,32024,1214,2,2,http://192.168.2.4/blog/2020/10/05/default,27,0,0
1605995422314,22,Get Random Number from Current Page,200,OK,Thread Group 1-1,text,true,,35056,1229,2,2,http://192.168.2.4/blog/2020/10/05/default?page=2,22,0,0
1605995422342,202,Open Random Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,58897,1227,2,2,null,0,10102,0
1605995432433,202,Open post,200,OK,Thread Group 1-1,text,true,,58897,1227,2,2,http://192.168.2.4/blog/post/wawpkoc,201,0,0
1605995359213,273,Edit Random Post,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-2,,true,,77368,7188,2,2,null,0,77588,1
1605995363587,12,Get EDIT Page,200,OK,Thread Group 1-2,text,true,,20109,1281,2,2,http://192.168.2.4/blog/admin/app/editor/editpost.cshtml?id=e1abbb4e-0c48-45ab-afb7-8f5ccf52a209,11,0,0
1605995363600,7,Get POST content XML,200,OK,Thread Group 1-2,text,true,,1577,1340,2,2,http://192.168.2.4/blog/api/posts/e1abbb4e-0c48-45ab-afb7-8f5ccf52a209,7,0,0
